,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000,10100,10200,10300,10400,10500,10600,10700,10800,10900,11000,11100,11200,11300,11400,11500,11600,11700,11800,11900,12000,12100,12200,12300,12400,12500,12600,12700,12800,12900,13000,13100,13200,13300,13400,13500,13600,13700,13800,13900,14000,14100,14200,14300,14400,14500,14600,14700,14800,14900,15000,15100,15200,15300,15400,15500,15600,15700,15800,15900,16000,16100,16200,16300,16400,16500,16600,16700,16800,16900,17000,17100,17200,17300,17400,17500,17600,17700,17800,17900,18000,18100,18200,18300,18400,18500,18600,18700,18800,18900,19000,19100,19200,19300,19400,19500,19600,19700,19800,19900,20000,20100,20200,20300,20400,20500,20600,20700,20800,20900,21000,21100,21200,21300,21400,21500,21600,21700,21800,21900,22000,22100,22200,22300,22400,22500,22600,22700,22800,22900,23000,23100,23200,23300,23400,23500,23600,23700,23800,23900,24000,24100,24200,24300,24400,24500,24600,24700,24800,24900,25000,25100,25200,25300,25400,25500,25600,25700,25800,25900,26000,26100,26200,26300,26400,26500,26600,26700,26800,26900,27000,27100,27200,27300,27400,27500,27600,27700,27800,27900,28000,28100,28200,28300,28400,28500,28600,28700,28800,28900,29000,29100,29200,29300,29400,29500,29600,29700,29800,29900,30000,30100,30200,30300,30400,30500,30600,30700,30800,30900,31000,31100,31200,31300,31400,31500,31600,31700,31800,31900,32000,32100,32200,32300,32400,32500,32600,32700,32800,32900,33000,33100,33200,33300,33400,33500,33600,33700,33800,33900,34000,34100,34200,34300,34400,34500,34600,34700,34800,34900,35000,35100,35200,35300,35400,35500,35600,35700,35800,35900,36000
80.00%,0,0.756658,0.747053,0.682207,0.766753,0.805687,0.753718,0.747669,0.788434,0.753862,0.734170,0.746088,0.744216,0.734877,0.718846,0.719235,0.702390,0.728781,0.735032,0.732188,0.745529,0.762109,0.763749,0.757645,0.757056,0.748417,0.751470,0.744263,0.742856,0.736640,0.731096,0.729266,0.727866,0.724158,0.726105,0.720762,0.713481,0.719479,0.714727,0.723779,0.720005,0.714629,0.711018,0.711431,0.706622,0.708886,0.706710,0.718940,0.717322,0.714438,0.710047,0.706308,0.711502,0.709430,0.707239,0.705328,0.707027,0.706650,0.710506,0.710869,0.706216,0.707394,0.706960,0.713291,0.714047,0.711102,0.712041,0.708110,0.707192,0.706632,0.705848,0.711507,0.711065,0.716895,0.714960,0.718266,0.722839,0.720043,0.719935,0.726522,0.736680,0.741155,0.738390,0.738288,0.736856,0.736834,0.736912,0.736000,0.736077,0.734111,0.734870,0.732634,0.734394,0.733737,0.731226,0.729960,0.736748,0.741221,0.742536,0.743774,0.745699,0.748283,0.746596,0.745360,0.746110,0.746857,0.747903,0.749767,0.748932,0.747577,0.747157,0.745236,0.743882,0.752079,0.754187,0.752372,0.752853,0.755245,0.752749,0.753333,0.751713,0.749540,0.748590,0.746610,0.745371,0.747642,0.746239,0.750286,0.751359,0.749173,0.750764,0.750498,0.749931,0.749555,0.747831,0.747001,0.751219,0.750226,0.749192,0.749872,0.750067,0.749677,0.749778,0.749300,0.748782,0.754964,0.754777,0.754876,0.754971,0.753910,0.753850,0.752432,0.757664,0.757564,0.757754,0.757648,0.757686,0.756074,0.756076,0.755038,0.758750,0.761942,0.761684,0.760351,0.758219,0.757410,0.755763,0.755357,0.756192,0.756302,0.757720,0.757485,0.757844,0.756933,0.758418,0.758551,0.758303,0.757603,0.757018,0.757976,0.756804,0.758246,0.756904,0.756848,0.756314,0.757895,0.757676,0.757074,0.756026,0.758086,0.757075,0.757030,0.757167,0.756636,0.755483,0.757036,0.758135,0.758611,0.757796,0.759144,0.760576,0.759999,0.760760,0.761317,0.760667,0.761800,0.762289,0.764151,0.764062,0.766619,0.775063,0.775110,0.775409,0.776644,0.775645,0.775148,0.776463,0.775274,0.776205,0.776259,0.775353,0.775174,0.775459,0.775444,0.775734,0.774714,0.775437,0.774717,0.774521,0.773666,0.775524,0.774453,0.773965,0.773868,0.774143,0.774298,0.773181,0.772261,0.773917,0.773472,0.772172,0.771042,0.770034,0.771693,0.770941,0.771415,0.771638,0.770956,0.771489,0.770751,0.772831,0.772675,0.772112,0.773546,0.772429,0.773080,0.772347,0.772827,0.772955,0.772169,0.771783,0.771589,0.772165,0.772777,0.772824,0.773243,0.773845,0.773399,0.773309,0.773905,0.773589,0.775547,0.776413,0.775660,0.775851,0.775602,0.775931,0.775096,0.775082,0.774175,0.773519,0.774098,0.774071,0.779544,0.778727,0.778550,0.779160,0.780846,0.780756,0.780495,0.780273,0.779510,0.779328,0.778870,0.780699,0.781698,0.781277,0.780496,0.782674,0.781774,0.783568,0.782711,0.783931,0.784168,0.783720,0.785591,0.784246,0.783801,0.782892,0.782674,0.783600,0.783862,0.784149,0.783321,0.782518,0.782737,0.783512,0.783136,0.782934,0.784215,0.783395,0.782449,0.781540,0.781490,0.780985,0.781475,0.781174,0.782922,0.782726,0.781780,0.781420,0.781596,0.781227,0.780784,0.780823,0.781823,0.782022,0.781747,0.782754,0.783078,0.783470,0.783777,0.783848,0.783394,0.784251,0.784973,0.785455,0.784816,0.786157,0.785821,0.785629,0.786688,0.786559,0.785815,0.786311,0.786284,0.785665,0.785688,0.793806,0.793487,0.792746
90.00%,0,1.695273,1.629037,1.499643,1.396647,1.412108,1.396856,1.475714,1.436517,1.405853,1.376423,1.642656,1.620055,2.224936,2.386203,2.371206,2.385423,2.316963,2.244351,2.171712,2.129467,2.069945,2.030662,1.983179,2.059162,2.049208,2.050238,2.011714,2.038331,2.034109,2.024849,1.989550,1.966247,1.937047,1.912912,1.893993,1.878201,1.863899,1.857333,1.861510,1.871817,1.865503,1.843309,1.829171,1.824198,1.809949,1.803177,1.804984,1.787659,1.771720,1.751105,1.736705,1.754639,1.748222,1.737969,1.737497,1.751089,1.737253,1.780695,1.788380,1.822288,1.822625,1.808839,1.797598,1.804202,1.789646,1.772696,1.755025,1.742442,1.742279,1.749611,1.769632,1.774331,1.770199,1.764992,1.767752,1.772393,1.768320,1.783815,1.773732,1.767642,1.759402,1.764159,1.789488,1.793695,1.781251,1.772496,1.768197,1.768033,1.760194,1.757542,1.748291,1.740000,1.748740,1.776309,1.775991,1.779720,1.774888,1.776955,1.771452,1.768404,1.771620,1.777942,1.783901,1.788452,1.816780,1.837035,1.836531,1.831738,1.828195,1.820380,1.810107,1.799986,1.805460,1.798917,1.792450,1.793117,1.836678,1.844528,1.841501,1.835049,1.833128,1.829026,1.828028,1.830967,1.885319,1.895658,1.903741,1.895471,1.890584,1.883915,1.875673,1.881447,1.877269,1.869290,1.863575,1.856578,1.851362,1.850245,1.871939,1.867348,1.859961,1.860017,1.854347,1.847137,1.847785,1.841290,1.836037,1.843940,1.842019,1.838945,1.845996,1.849216,1.850162,1.844466,1.841227,1.837590,1.832816,1.827285,1.828443,1.823515,1.819585,1.819193,1.819038,1.817400,1.810535,1.818970,1.824391,1.820924,1.822233,1.825296,1.822946,1.819625,1.815308,1.809687,1.807357,1.810848,1.808506,1.806164,1.802491,1.804149,1.801816,1.797516,1.791704,1.786375,1.781763,1.778496,1.778782,1.778281,1.772304,1.769970,1.768787,1.769528,1.768224,1.771951,1.768301,1.765728,1.768942,1.765425,1.765583,1.765087,1.761367,1.760073,1.759128,1.754569,1.750814,1.747497,1.752632,1.749640,1.747718,1.746940,1.744850,1.744201,1.740827,1.741554,1.739390,1.740897,1.748020,1.749600,1.745351,1.742996,1.740919,1.738794,1.735792,1.732866,1.730194,1.735086,1.736398,1.735547,1.730978,1.727150,1.723156,1.720661,1.718610,1.721449,1.720021,1.716380,1.721763,1.721006,1.718509,1.714041,1.711591,1.711416,1.728302,1.732661,1.733074,1.729951,1.727014,1.723158,1.719144,1.717206,1.714321,1.710968,1.717323,1.717716,1.718585,1.717805,1.714846,1.714584,1.711561,1.710351,1.706375,1.704671,1.706822,1.711262,1.716481,1.716154,1.714808,1.714937,1.716020,1.712948,1.715789,1.714478,1.713984,1.716844,1.715147,1.712031,1.716813,1.716057,1.723952,1.724754,1.727878,1.726950,1.726438,1.727102,1.736465,1.734550,1.732438,1.729765,1.730189,1.726563,1.725102,1.725178,1.722505,1.721303,1.722063,1.720152,1.718795,1.719220,1.723805,1.720238,1.720527,1.724965,1.734155,1.732822,1.732520,1.731938,1.730334,1.730269,1.728021,1.727500,1.724533,1.724885,1.725069,1.724466,1.726603,1.725450,1.725513,1.726037,1.725315,1.725142,1.722179,1.723469,1.721371,1.719383,1.718032,1.722001,1.720430,1.717832,1.719356,1.718326,1.717248,1.717859,1.716324,1.716125,1.713060,1.712607,1.711698,1.711225,1.708031,1.707035,1.706797,1.704122,1.715905,1.713298,1.711815,1.709597,1.707519,1.708224,1.707331,1.706955,1.705966,1.706906,1.704316,1.702492,1.704114,1.701778,1.700783,1.698901,1.697065,1.696822
95.00%,0,1.199646,1.951798,4.384290,5.090597,4.685376,4.162391,3.956422,3.835213,4.025131,3.856170,3.736946,3.821528,3.651007,3.640021,3.595633,3.515621,3.624544,3.549665,3.464166,3.721605,4.010161,3.960040,3.823834,3.849459,3.874024,3.873284,3.846004,3.999252,3.974545,3.885316,3.809011,3.737974,3.693888,3.667121,3.598589,3.590551,3.606064,3.593332,3.562353,3.532834,3.494837,3.464074,3.473259,3.420107,3.388770,3.349903,3.409480,3.453763,3.411802,3.391833,3.357174,3.344188,3.378909,3.347725,3.333525,3.317761,3.279887,3.251193,3.225381,3.206982,3.187529,3.189384,3.191936,3.184217,3.153491,3.163437,3.156184,3.136263,3.145199,3.135051,3.157830,3.134476,3.106131,3.078653,3.057673,3.045045,3.022011,2.999690,2.985149,3.049283,3.061276,3.063836,3.044439,3.021797,3.015418,2.999228,2.998399,3.024537,3.083591,3.097913,3.097403,3.087055,3.097631,3.110819,3.101443,3.105743,3.090413,3.075584,3.071423,3.069158,3.085700,3.072446,3.062971,3.057416,3.082639,3.119996,3.142712,3.131248,3.119376,3.108841,3.100559,3.090466,3.111440,3.135306,3.158861,3.230270,3.359185,3.373242,3.354277,3.335277,3.320137,3.360662,3.358383,3.343982,3.362014,3.391557,3.402172,3.396204,3.418494,3.421905,3.421442,3.409203,3.404628,3.396653,3.382230,3.368583,3.351109,3.354034,3.372255,3.355417,3.347928,3.339159,3.327134,3.328202,3.323506,3.326819,3.317456,3.305944,3.293796,3.282454,3.276836,3.284689,3.280228,3.282128,3.279757,3.270666,3.269543,3.256148,3.252374,3.246983,3.247811,3.239743,3.229054,3.217479,3.207353,3.194313,3.180311,3.171121,3.163675,3.174221,3.162904,3.176390,3.177866,3.167321,3.159969,3.162896,3.151229,3.146383,3.174084,3.194796,3.187080,3.179235,3.168700,3.160561,3.158870,3.150468,3.150145,3.172592,3.178290,3.178885,3.186793,3.228769,3.271439,3.287492,3.280457,3.277547,3.288382,3.284186,3.287023,3.275780,3.275641,3.265168,3.257110,3.249768,3.256121,3.275117,3.293417,3.319578,3.334422,3.331471,3.338567,3.332069,3.324011,3.322628,3.315485,3.306288,3.301351,3.290954,3.282220,3.287293,3.298641,3.292137,3.285373,3.281405,3.275115,3.267627,3.277837,3.271405,3.266004,3.260898,3.251364,3.264279,3.265480,3.263956,3.275940,3.265863,3.276110,3.288298,3.302293,3.292813,3.285633,3.282319,3.274590,3.265355,3.263466,3.257934,3.262973,3.255821,3.252386,3.247885,3.242169,3.243593,3.234575,3.238827,3.236172,3.235648,3.226336,3.222347,3.219335,3.211946,3.203297,3.198096,3.207541,3.202303,3.199756,3.206173,3.209162,3.213680,3.208268,3.204331,3.200085,3.193614,3.195584,3.206922,3.205323,3.216171,3.235970,3.228495,3.220628,3.216298,3.212998,3.210068,3.206176,3.200703,3.193951,3.191551,3.183830,3.183510,3.206024,3.244154,3.289202,3.344404,3.400917,3.472519,3.523205,3.553397,3.569807,3.562248,3.558307,3.550753,3.544944,3.536307,3.531890,3.524147,3.519800,3.511629,3.503988,3.496812,3.494465,3.489197,3.482862,3.481943,3.477632,3.475385,3.469923,3.469929,3.464429,3.458081,3.453454,3.446949,3.439873,3.436257,3.432017,3.442031,3.457373,3.463725,3.459029,3.454793,3.451288,3.448475,3.441791,3.436531,3.436200,3.431735,3.425425,3.422833,3.420747,3.416593,3.409602,3.421031,3.423433,3.422517,3.453254,3.478160,3.485905,3.490158,3.487676,3.482102,3.475527,3.475526,3.489331,3.491507,3.484401,3.478589,3.471699,3.469153,3.477619,3.489957,3.487557,3.486691
99.00%,0,6.352566,7.363762,9.597123,11.627250,12.842749,12.997256,13.491339,12.386098,11.165451,10.300233,9.649444,9.770954,9.551778,9.396999,9.738746,10.097013,10.989525,12.068866,12.973464,13.758070,15.103775,16.398152,17.593023,18.348317,19.162719,19.999630,20.913427,21.751741,22.296425,22.400429,22.414495,22.600234,22.746801,22.952710,22.950802,23.038720,23.065844,23.253364,23.489269,23.679666,23.991419,24.307120,24.691556,25.103082,25.399376,25.574365,26.113369,26.758173,27.096071,27.484601,27.939724,28.404406,28.924300,29.403352,29.934895,30.270907,30.549805,30.739251,30.822174,30.869859,31.012888,30.991813,30.862472,30.803742,30.677313,30.583229,30.498945,30.492268,30.432258,30.383084,30.380261,30.287532,30.140509,29.923748,29.768057,29.617105,29.483405,29.393715,29.367448,29.453514,29.525023,29.640696,29.871631,30.175707,30.576873,30.918623,31.246921,31.520575,31.829280,32.175293,32.575367,32.918072,33.255251,33.498754,33.708809,33.890534,33.996199,34.145427,34.285532,34.482107,34.710548,34.868943,35.018952,35.224551,35.363818,35.573991,35.881695,36.183337,36.547801,36.891800,37.291368,37.740548,38.172593,38.594374,39.051232,39.472223,39.885475,40.301298,40.663505,40.978429,41.254125,41.622205,41.967752,42.311567,42.607217,42.920036,43.267651,43.576697,43.914706,44.302235,44.631653,44.903280,45.033503,45.208599,45.357478,45.590790,45.742838,45.803843,45.824016,45.807609,45.748760,45.689886,45.579405,45.382736,45.166107,44.927438,44.651178,44.422035,44.194527,43.930698,43.668736,43.402995,43.138356,42.925245,42.773560,42.564552,42.364816,42.143776,41.912917,41.683274,41.491133,41.269496,41.068350,40.853641,40.620007,40.376374,40.141276,39.925392,39.746836,39.556245,39.339161,39.128173,38.926285,38.731734,38.521093,38.348062,38.194953,38.064011,37.953849,37.875361,37.799599,37.708316,37.593189,37.442874,37.270975,37.094119,36.906677,36.737216,36.564164,36.393997,36.232683,36.072051,35.929137,35.781889,35.658372,35.578985,35.540921,35.483853,35.448734,35.369562,35.286071,35.232318,35.210786,35.188922,35.171758,35.149975,35.124038,35.068446,35.007493,34.964128,34.948640,34.903873,34.861960,34.856988,34.851566,34.822616,34.821576,34.824107,34.832050,34.818889,34.850698,34.832745,34.827286,34.825573,34.850714,34.882945,34.920299,34.957365,34.984671,34.996228,34.962527,34.926223,34.856251,34.771557,34.710712,34.646991,34.551457,34.449538,34.361297,34.251987,34.123517,34.000010,33.875359,33.742044,33.614569,33.493857,33.390901,33.373083,33.351999,33.329514,33.315793,33.274723,33.222380,33.151956,33.056326,32.961429,32.869305,32.791842,32.711924,32.643786,32.568183,32.467584,32.358238,32.260029,32.194637,32.091672,31.983188,31.881706,31.782577,31.691266,31.585074,31.483357,31.379002,31.282805,31.177036,31.073339,30.980447,30.877965,30.779198,30.689243,30.606734,30.541084,30.469747,30.372411,30.284222,30.187593,30.108612,30.030979,29.967499,29.907371,29.826969,29.738345,29.642481,29.561023,29.475358,29.382952,29.302805,29.221834,29.151844,29.095026,29.033603,28.954355,28.882968,28.801535,28.715570,28.639161,28.562211,28.487747,28.427221,28.383555,28.341864,28.301543,28.270974,28.262974,28.283290,28.323341,28.323972,28.317424,28.301232,28.271395,28.214560,28.184112,28.150720,28.104522,28.055048,28.018378,27.968474,27.895324,27.820576,27.748208,27.678304,27.604086,27.543265,27.491449,27.427810,27.369557,27.315366,27.261424,27.204579,27.147520,27.101042,27.046278,26.984357,26.939989,26.896493,26.859200,26.827723,26.760878,26.691730,26.639383,26.595353,26.566789,26.536111,26.503971,26.456790,26.400210,26.336405,26.274116,26.206402,26.140403
