,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000,10100,10200,10300,10400,10500,10600,10700,10800,10900,11000,11100,11200,11300,11400,11500,11600,11700,11800,11900,12000,12100,12200,12300,12400,12500,12600,12700,12800,12900,13000,13100,13200,13300,13400,13500,13600,13700,13800,13900,14000,14100,14200,14300,14400,14500,14600,14700,14800,14900,15000,15100,15200,15300,15400,15500,15600,15700,15800,15900,16000,16100,16200,16300,16400,16500,16600,16700,16800,16900,17000,17100,17200,17300,17400,17500,17600,17700,17800,17900,18000,18100,18200,18300,18400,18500,18600,18700,18800,18900,19000,19100,19200,19300,19400,19500,19600,19700,19800,19900,20000,20100,20200,20300,20400,20500,20600,20700,20800,20900,21000,21100,21200,21300,21400,21500,21600,21700,21800,21900,22000,22100,22200,22300,22400,22500,22600,22700,22800,22900,23000,23100,23200,23300,23400,23500,23600,23700,23800,23900,24000,24100,24200,24300,24400,24500,24600,24700,24800,24900,25000,25100,25200,25300,25400,25500,25600,25700,25800,25900,26000,26100,26200,26300,26400,26500,26600,26700,26800,26900,27000,27100,27200,27300,27400,27500,27600,27700,27800,27900,28000,28100,28200,28300,28400,28500,28600,28700,28800,28900,29000,29100,29200,29300,29400,29500,29600,29700,29800,29900,30000,30100,30200,30300,30400,30500,30600,30700,30800,30900,31000,31100,31200,31300,31400,31500,31600,31700,31800,31900,32000,32100,32200,32300,32400,32500,32600,32700,32800,32900,33000,33100,33200,33300,33400,33500,33600,33700,33800,33900,34000,34100,34200,34300,34400,34500,34600,34700,34800,34900,35000,35100,35200,35300,35400,35500,35600,35700,35800,35900,36000
80.00%,0,3.847482,3.778662,3.478892,3.867920,4.061805,3.778224,3.721072,3.935318,3.746611,3.641457,3.705297,3.687237,3.653258,3.570188,3.558330,3.469263,3.598291,3.633490,3.620784,3.707217,3.806831,3.801245,3.770346,3.769488,3.714392,3.739988,3.696351,3.692882,3.659012,3.626963,3.620632,3.608804,3.591788,3.605592,3.579692,3.538951,3.570889,3.541279,3.593832,3.576577,3.544612,3.527718,3.532598,3.504356,3.520411,3.508792,3.574873,3.566139,3.551712,3.521944,3.503085,3.531705,3.520432,3.508163,3.500981,3.509358,3.509313,3.532502,3.535271,3.512482,3.520027,3.518252,3.551459,3.555953,3.539736,3.540951,3.520251,3.514288,3.512777,3.509934,3.538072,3.536434,3.567593,3.554448,3.572073,3.595533,3.578784,3.579221,3.614340,3.668359,3.691499,3.677687,3.677388,3.669479,3.669322,3.669294,3.664930,3.667235,3.658677,3.663222,3.652508,3.661030,3.656995,3.642763,3.634402,3.669010,3.690231,3.697938,3.704794,3.713646,3.728803,3.721895,3.716320,3.721727,3.726455,3.731683,3.741451,3.736112,3.729086,3.724919,3.714028,3.707055,3.748479,3.759651,3.748934,3.750029,3.764011,3.751971,3.755292,3.747914,3.735137,3.730762,3.720827,3.714486,3.725917,3.717967,3.740088,3.744713,3.732593,3.741056,3.739916,3.738735,3.737411,3.730504,3.726139,3.748793,3.743551,3.738549,3.741137,3.741975,3.740163,3.741016,3.737849,3.736122,3.767865,3.766878,3.766891,3.766926,3.758760,3.757226,3.749627,3.778039,3.777769,3.778400,3.777693,3.776728,3.768905,3.767598,3.762457,3.782039,3.798155,3.798120,3.790042,3.777004,3.771853,3.764155,3.763584,3.769888,3.769596,3.776743,3.775865,3.778831,3.773058,3.780989,3.780920,3.780282,3.776477,3.771774,3.775574,3.767873,3.774369,3.765529,3.765918,3.763400,3.772243,3.770737,3.767947,3.763715,3.774862,3.768608,3.769308,3.770012,3.766435,3.759752,3.768797,3.774245,3.776023,3.769986,3.777431,3.786483,3.783083,3.788295,3.791249,3.786640,3.791980,3.794235,3.804475,3.804177,3.818375,3.862354,3.862913,3.863379,3.869181,3.864201,3.862179,3.869518,3.862973,3.868872,3.869140,3.865004,3.864363,3.866341,3.866321,3.867205,3.860758,3.864265,3.860905,3.859368,3.854758,3.864319,3.858998,3.857072,3.856368,3.858077,3.860000,3.853770,3.848243,3.857869,3.855277,3.848708,3.842257,3.835819,3.844938,3.840606,3.843878,3.845948,3.842594,3.846239,3.841743,3.851548,3.851706,3.848642,3.856455,3.850432,3.853755,3.849510,3.851709,3.852755,3.849426,3.848212,3.848362,3.850914,3.853543,3.854599,3.856458,3.860021,3.857024,3.857559,3.861354,3.859693,3.868807,3.873587,3.869627,3.870981,3.870244,3.871597,3.867123,3.867169,3.861608,3.858248,3.861014,3.860880,3.888793,3.884915,3.884202,3.887338,3.896368,3.896065,3.894067,3.892958,3.888989,3.888590,3.885025,3.894959,3.899107,3.896197,3.892042,3.903109,3.898115,3.908218,3.905103,3.911860,3.913487,3.911362,3.920657,3.913250,3.911567,3.906575,3.905444,3.910512,3.911954,3.914563,3.910020,3.905686,3.906892,3.910877,3.907613,3.906151,3.912518,3.907919,3.902571,3.898253,3.897795,3.894296,3.897108,3.895857,3.904624,3.902840,3.897846,3.895977,3.897199,3.894934,3.892552,3.892421,3.897630,3.898194,3.897008,3.902475,3.904970,3.906637,3.907983,3.909381,3.907142,3.912126,3.916030,3.918582,3.914807,3.921745,3.920143,3.918867,3.924157,3.924451,3.920528,3.923031,3.922592,3.919070,3.919474,3.960843,3.957852,3.954653
90.00%,0,8.769245,8.232889,7.538139,6.976148,7.048455,7.035152,7.364262,7.167856,7.012972,6.849306,8.224845,8.095826,11.230908,12.067213,11.936241,12.017877,11.614729,11.230447,10.865396,10.699265,10.394891,10.175406,9.918313,10.337019,10.275458,10.291539,10.065002,10.221447,10.213633,10.141122,9.970782,9.841553,9.679935,9.552948,9.476344,9.399812,9.326530,9.290056,9.305061,9.357415,9.327015,9.216911,9.149246,9.115184,9.041497,9.010694,9.032969,8.953205,8.865991,8.750389,8.681748,8.780383,8.746288,8.685637,8.687405,8.759399,8.696935,8.929868,8.972062,9.157163,9.154792,9.081477,9.025061,9.057644,8.971020,8.866696,8.775106,8.704009,8.710821,8.751932,8.853837,8.884554,8.862872,8.835363,8.850247,8.866834,8.839953,8.927059,8.870908,8.845097,8.804475,8.836076,8.967658,8.994514,8.929702,8.880823,8.857656,8.859527,8.819763,8.809276,8.757483,8.715960,8.763196,8.906522,8.898564,8.918236,8.893645,8.908006,8.878336,8.862513,8.885238,8.921956,8.953455,8.978467,9.122880,9.225935,9.222476,9.198879,9.175820,9.132434,9.074991,9.019853,9.047100,9.013341,8.973786,8.983249,9.210964,9.252473,9.237459,9.201657,9.195013,9.174260,9.167432,9.180368,9.459107,9.512980,9.552666,9.504997,9.477670,9.442336,9.401150,9.434401,9.413831,9.377406,9.348243,9.310580,9.286931,9.277572,9.388511,9.365523,9.325392,9.325618,9.295969,9.257335,9.261635,9.222722,9.194001,9.234262,9.219230,9.202325,9.238958,9.257876,9.263384,9.234976,9.214435,9.195840,9.171397,9.145078,9.150825,9.126568,9.105660,9.104045,9.105017,9.092210,9.060680,9.109939,9.139277,9.119411,9.121841,9.139042,9.129418,9.112110,9.090356,9.055395,9.046287,9.065651,9.054282,9.037716,9.015167,9.020831,9.007075,8.984212,8.952822,8.927793,8.901988,8.883599,8.888072,8.884217,8.851874,8.841159,8.835663,8.838461,8.831474,8.850889,8.830982,8.816901,8.830848,8.811340,8.814283,8.814298,8.794715,8.787639,8.783680,8.753944,8.732621,8.716872,8.743438,8.727757,8.721278,8.719225,8.707911,8.702842,8.681995,8.687911,8.678738,8.687634,8.725026,8.734674,8.710103,8.701185,8.690575,8.679173,8.663384,8.645532,8.631493,8.656706,8.664497,8.657020,8.633428,8.610705,8.589367,8.577348,8.567260,8.583254,8.578492,8.559119,8.587328,8.583556,8.570182,8.548354,8.534649,8.533938,8.620370,8.642733,8.645292,8.629229,8.613881,8.594323,8.570812,8.559173,8.544865,8.527543,8.562466,8.563344,8.569271,8.563849,8.547140,8.546113,8.531890,8.527514,8.507045,8.497194,8.508603,8.534803,8.562224,8.561590,8.554892,8.556695,8.564642,8.548314,8.561202,8.554803,8.552825,8.568879,8.560235,8.543347,8.568266,8.563974,8.604554,8.608606,8.623007,8.617902,8.614496,8.618897,8.667697,8.658000,8.648352,8.632433,8.633585,8.614361,8.608851,8.609457,8.593707,8.588595,8.590687,8.579987,8.575054,8.576408,8.600058,8.580885,8.585597,8.609599,8.656499,8.649506,8.647317,8.646782,8.639093,8.639377,8.626807,8.626009,8.610008,8.614194,8.615172,8.611541,8.620945,8.614415,8.613948,8.616447,8.612392,8.609812,8.592843,8.601552,8.589267,8.577114,8.570548,8.591428,8.581996,8.566370,8.573924,8.569126,8.563516,8.566012,8.557593,8.556393,8.539016,8.536156,8.531504,8.528231,8.511738,8.507054,8.505453,8.493580,8.554040,8.541304,8.533339,8.521506,8.510364,8.513573,8.509612,8.506968,8.501048,8.507316,8.494151,8.484661,8.493068,8.479348,8.473746,8.463839,8.453508,8.451531
95.00%,0,5.883355,9.710197,22.177711,25.802428,23.764095,21.194198,19.952652,19.404327,20.409511,19.485126,18.901744,19.273220,18.488130,18.459543,18.138730,17.766936,18.280460,17.902121,17.513658,18.951519,20.355325,20.071983,19.313613,19.448280,19.570922,19.588181,19.449494,20.226920,20.129280,19.614352,19.228080,18.860362,18.652632,18.528496,18.168760,18.116359,18.188204,18.132737,17.968855,17.806015,17.583305,17.445472,17.499483,17.204629,17.050771,16.850574,17.184100,17.405446,17.166116,17.072255,16.900393,16.836659,16.999583,16.833464,16.758328,16.682278,16.489681,16.346717,16.220875,16.140114,16.020749,16.049999,16.055397,16.007617,15.826673,15.881580,15.829430,15.720471,15.771823,15.727619,15.842356,15.715310,15.570181,15.419216,15.307060,15.240448,15.112755,15.009209,14.929138,15.266502,15.325177,15.344176,15.244162,15.128274,15.098363,15.006972,14.997504,15.146843,15.442564,15.521489,15.517358,15.467533,15.522642,15.589724,15.535291,15.557779,15.470216,15.391480,15.372298,15.352213,15.448092,15.387367,15.334170,15.318344,15.449408,15.633430,15.749075,15.691010,15.628257,15.569079,15.524802,15.473747,15.579332,15.698223,15.812024,16.186094,16.835209,16.907642,16.804348,16.704176,16.632173,16.834873,16.822196,16.742017,16.836182,16.991101,17.037105,17.009766,17.127633,17.137935,17.141875,17.079463,17.062795,17.028622,16.951969,16.881555,16.792478,16.806786,16.894929,16.804601,16.769216,16.720927,16.658901,16.668569,16.643809,16.654601,16.606411,16.543320,16.473392,16.411375,16.383743,16.426839,16.402027,16.415289,16.401222,16.353682,16.352038,16.285060,16.265566,16.235947,16.243757,16.201691,16.146386,16.083182,16.030883,15.967904,15.901892,15.859698,15.810315,15.863388,15.810359,15.886449,15.887678,15.831881,15.796058,15.813973,15.748638,15.719652,15.860435,15.957427,15.913734,15.872688,15.817010,15.782702,15.771570,15.725239,15.729657,15.843354,15.873690,15.879686,15.924531,16.137437,16.348992,16.430105,16.393353,16.380737,16.432393,16.408919,16.427522,16.366608,16.368176,16.309185,16.265021,16.223665,16.255701,16.354111,16.448818,16.578822,16.657592,16.643308,16.679491,16.642744,16.597092,16.594013,16.557851,16.508928,16.486189,16.434193,16.387401,16.422757,16.478208,16.442417,16.409212,16.387831,16.352536,16.314089,16.362610,16.326311,16.302767,16.274286,16.224995,16.293675,16.300885,16.295707,16.356949,16.304112,16.357883,16.422433,16.491745,16.444141,16.406615,16.388513,16.349751,16.299345,16.293955,16.263927,16.292803,16.255942,16.237489,16.210778,16.187294,16.195651,16.149340,16.171005,16.158436,16.155358,16.103812,16.084252,16.073790,16.034878,15.990218,15.963857,16.009045,15.984582,15.973728,16.006839,16.023069,16.049323,16.025755,16.001953,15.977515,15.945604,15.957582,16.014282,16.009127,16.067128,16.163581,16.122723,16.084805,16.062390,16.041676,16.023621,16.002098,15.975657,15.942517,15.929303,15.888862,15.887075,15.999527,16.195192,16.422655,16.699444,16.981254,17.341763,17.593042,17.741558,17.824836,17.780403,17.763771,17.724400,17.699152,17.656465,17.632513,17.592436,17.569398,17.528177,17.491781,17.452812,17.439179,17.414013,17.381601,17.382022,17.358730,17.348549,17.317981,17.318126,17.284110,17.249831,17.223076,17.187767,17.150874,17.133156,17.113626,17.165669,17.242473,17.274635,17.250172,17.223716,17.206073,17.192843,17.157476,17.126236,17.125999,17.102461,17.068022,17.054973,17.043338,17.020680,16.987359,17.048454,17.059540,17.060906,17.216800,17.342929,17.379800,17.403453,17.388322,17.360542,17.326559,17.327314,17.394911,17.409858,17.374630,17.343810,17.307252,17.292261,17.335867,17.397241,17.384815,17.379986
99.00%,0,32.994529,38.023022,49.766471,60.195775,65.697998,66.777568,68.619615,62.147192,55.665805,51.335470,48.139905,48.786437,47.882935,47.313467,48.873655,50.774152,55.312433,60.793535,65.299317,69.863160,76.600907,83.114190,89.018413,92.763870,96.843741,101.148655,105.739239,109.895517,112.561307,112.681459,112.961766,113.845474,114.581335,115.627391,115.700415,116.130915,116.274422,117.222994,118.451419,119.372513,120.933591,122.570569,124.705194,126.679549,128.039316,129.127635,132.182889,135.242339,136.887990,139.010239,141.378173,143.717208,146.310162,148.654471,151.332258,152.979245,154.418945,155.354994,155.812287,156.046674,156.668078,156.442088,155.771470,155.398898,154.617272,154.102015,153.697477,153.649612,153.390928,153.214099,153.123555,152.531116,151.754293,150.669964,149.880176,149.004988,148.262581,147.965329,147.957641,148.361352,148.750236,149.460231,150.684505,152.356276,154.268950,156.018406,157.566527,159.056628,160.614901,162.473453,164.399547,166.094495,167.758646,168.927632,169.870887,170.701970,171.261669,171.960267,172.666048,173.753464,174.912575,175.729285,176.545953,177.585145,178.222262,179.377448,180.950440,182.519448,184.287526,186.037087,188.070769,190.323214,192.419786,194.533104,196.773645,198.956318,201.100114,203.185734,205.018113,206.530785,207.979300,209.858742,211.534676,213.174568,214.660941,216.293311,217.972984,219.544323,221.270669,223.231248,224.874943,226.131377,226.899406,227.838194,228.664390,229.810113,230.430440,230.595051,230.692017,230.552316,230.252032,229.864926,229.209722,228.113989,226.986128,225.655750,224.176113,222.958962,221.717034,220.379722,219.023292,217.617448,216.359876,215.369533,214.436206,213.452286,212.452720,211.345683,210.186502,209.072836,208.102396,206.989323,205.906068,204.858526,203.720335,202.565324,201.420246,200.266139,199.352585,198.374159,197.303141,196.209560,195.128686,194.108289,193.061631,192.234814,191.440160,190.715129,190.160606,189.700226,189.296891,188.832883,188.276104,187.478901,186.568262,185.687925,184.785898,183.963562,183.110987,182.245804,181.419421,180.647482,179.904235,179.193184,178.580249,178.239744,177.978820,177.737802,177.579452,177.155153,176.756401,176.497299,176.355043,176.223692,176.112694,176.035951,175.844049,175.609668,175.361505,175.168398,175.032621,174.767479,174.627169,174.599242,174.581863,174.449836,174.500924,174.487623,174.528836,174.526169,174.661694,174.560412,174.502781,174.508680,174.604911,174.797610,174.969118,175.123494,175.256070,175.283747,175.145123,174.930506,174.560557,174.198059,173.888601,173.529930,173.051330,172.556520,172.130407,171.525297,170.879170,170.259960,169.602632,168.966046,168.329395,167.730456,167.297333,167.209826,167.068945,166.987025,166.915785,166.710110,166.445387,166.056931,165.566498,165.089091,164.666711,164.297234,163.919467,163.596926,163.186418,162.648754,162.136896,161.691146,161.338809,160.814230,160.271705,159.794975,159.289770,158.781448,158.252832,157.738560,157.239597,156.717718,156.201388,155.672912,155.172865,154.646400,154.160744,153.694807,153.286223,152.944583,152.580140,152.093058,151.665379,151.192187,150.785388,150.395764,150.111241,149.804694,149.375636,148.879114,148.415751,147.975959,147.523564,147.077541,146.662992,146.265012,145.960055,145.699678,145.395482,144.990280,144.628344,144.171546,143.748170,143.375497,142.981179,142.608481,142.322843,142.122785,141.937704,141.738313,141.595036,141.557764,141.684832,141.825527,141.811569,141.755001,141.656874,141.473536,141.216909,141.065849,140.886939,140.655208,140.405065,140.200798,139.893687,139.499583,139.125697,138.756569,138.373961,138.003794,137.705798,137.416039,137.090545,136.799212,136.534218,136.281601,135.989831,135.718222,135.507590,135.233600,134.939828,134.714738,134.504130,134.310528,134.134638,133.798980,133.453827,133.182327,133.024347,132.890542,132.722935,132.545207,132.300328,132.003711,131.672434,131.330221,130.988921,130.671513
