,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000,10100,10200,10300,10400,10500,10600,10700,10800,10900,11000,11100,11200,11300,11400,11500,11600,11700,11800,11900,12000,12100,12200,12300,12400,12500,12600,12700,12800,12900,13000,13100,13200,13300,13400,13500,13600,13700,13800,13900,14000,14100,14200,14300,14400,14500,14600,14700,14800,14900,15000,15100,15200,15300,15400,15500,15600,15700,15800,15900,16000,16100,16200,16300,16400,16500,16600,16700,16800,16900,17000,17100,17200,17300,17400,17500,17600,17700,17800,17900,18000,18100,18200,18300,18400,18500,18600,18700,18800,18900,19000,19100,19200,19300,19400,19500,19600,19700,19800,19900,20000,20100,20200,20300,20400,20500,20600,20700,20800,20900,21000,21100,21200,21300,21400,21500,21600,21700,21800,21900,22000,22100,22200,22300,22400,22500,22600,22700,22800,22900,23000,23100,23200,23300,23400,23500,23600,23700,23800,23900,24000,24100,24200,24300,24400,24500,24600,24700,24800,24900,25000,25100,25200,25300,25400,25500,25600,25700,25800,25900,26000,26100,26200,26300,26400,26500,26600,26700,26800,26900,27000,27100,27200,27300,27400,27500,27600,27700,27800,27900,28000,28100,28200,28300,28400,28500,28600,28700,28800,28900,29000,29100,29200,29300,29400,29500,29600,29700,29800,29900,30000,30100,30200,30300,30400,30500,30600,30700,30800,30900,31000,31100,31200,31300,31400,31500,31600,31700,31800,31900,32000,32100,32200,32300,32400,32500,32600,32700,32800,32900,33000,33100,33200,33300,33400,33500,33600,33700,33800,33900,34000,34100,34200,34300,34400,34500,34600,34700,34800,34900,35000,35100,35200,35300,35400,35500,35600,35700,35800,35900,36000
80.00%,0,3.851389,3.780087,3.479254,3.868267,4.062275,3.778639,3.721255,3.935318,3.747534,3.641482,3.705344,3.687589,3.653258,3.570188,3.558330,3.469369,3.598464,3.633506,3.620864,3.707516,3.807279,3.801245,3.770436,3.769510,3.714842,3.740006,3.696783,3.692882,3.659069,3.626965,3.620687,3.608848,3.592042,3.605592,3.579714,3.538951,3.570949,3.541287,3.593841,3.576624,3.544732,3.527836,3.532598,3.504366,3.520411,3.508817,3.574965,3.566139,3.551776,3.521977,3.503085,3.531788,3.520779,3.508169,3.500992,3.509381,3.509323,3.532562,3.535306,3.512484,3.520041,3.518265,3.551511,3.555956,3.539755,3.540951,3.520258,3.514432,3.513292,3.509982,3.538092,3.536759,3.567593,3.554606,3.572082,3.595555,3.578799,3.579221,3.614400,3.668482,3.691503,3.677812,3.677388,3.669545,3.669347,3.669309,3.665027,3.667251,3.658760,3.663245,3.652542,3.661033,3.657007,3.642763,3.634508,3.669084,3.690231,3.698059,3.704821,3.713657,3.728892,3.721928,3.716320,3.721727,3.726458,3.731683,3.741451,3.736131,3.729086,3.724920,3.714028,3.707055,3.748549,3.759651,3.748974,3.750051,3.764024,3.752072,3.755292,3.747915,3.735137,3.730803,3.720850,3.714594,3.725950,3.717986,3.740088,3.744713,3.732626,3.741059,3.739916,3.738746,3.737411,3.730504,3.726150,3.748802,3.743573,3.738549,3.741159,3.741978,3.740163,3.741021,3.737856,3.736122,3.768157,3.766905,3.766891,3.766926,3.758771,3.757237,3.749654,3.778054,3.777769,3.778400,3.777693,3.776728,3.768908,3.767603,3.762464,3.782039,3.798163,3.798122,3.790045,3.777041,3.771854,3.764199,3.763622,3.769888,3.769604,3.776744,3.775866,3.778867,3.773071,3.781018,3.780964,3.780313,3.776477,3.771776,3.775574,3.767873,3.774369,3.765529,3.765920,3.763400,3.772269,3.770739,3.767961,3.763725,3.774867,3.768639,3.769336,3.770019,3.766438,3.759772,3.768797,3.774245,3.776072,3.769995,3.777485,3.786491,3.783093,3.788321,3.791249,3.786667,3.791982,3.794236,3.804476,3.804183,3.818718,3.862359,3.862950,3.863404,3.869181,3.864233,3.862181,3.869518,3.862973,3.868883,3.869140,3.865030,3.864363,3.866341,3.866338,3.867206,3.860764,3.864284,3.860926,3.859390,3.854758,3.864337,3.859089,3.857080,3.856420,3.858111,3.860000,3.853784,3.848243,3.857879,3.855289,3.848708,3.842317,3.835819,3.844938,3.840678,3.843916,3.845958,3.842607,3.846276,3.841744,3.851548,3.851709,3.848643,3.856455,3.850439,3.853759,3.849515,3.851717,3.852763,3.849456,3.848231,3.848365,3.851187,3.853543,3.854607,3.856471,3.860030,3.857031,3.857743,3.861382,3.859694,3.868808,3.873588,3.869635,3.870985,3.870256,3.871614,3.867171,3.867211,3.861608,3.858255,3.861016,3.860883,3.888797,3.884915,3.884202,3.887411,3.896368,3.896107,3.894077,3.892972,3.889007,3.888609,3.885048,3.895000,3.899110,3.896197,3.892048,3.903125,3.898148,3.908230,3.905105,3.911869,3.913492,3.911382,3.920667,3.913259,3.911600,3.906583,3.905466,3.910520,3.912024,3.914563,3.910022,3.905686,3.906892,3.910891,3.907624,3.906151,3.912520,3.907919,3.902595,3.898260,3.897799,3.894296,3.897130,3.895857,3.904626,3.902845,3.897849,3.895977,3.897214,3.894935,3.892552,3.892425,3.897632,3.898195,3.897045,3.902493,3.904970,3.906659,3.908011,3.909384,3.907151,3.912126,3.916035,3.918582,3.914988,3.921746,3.920144,3.918922,3.924162,3.924458,3.920528,3.923072,3.922592,3.919078,3.919485,3.960848,3.957852,3.954657
90.00%,0,8.781514,8.234784,7.538206,6.976252,7.049241,7.037825,7.365921,7.170015,7.013645,6.854584,8.225229,8.096223,11.244483,12.067371,11.941394,12.018059,11.614797,11.230481,10.865416,10.699509,10.395067,10.175461,9.918484,10.337850,10.275548,10.291539,10.065275,10.221502,10.214035,10.141122,9.970853,9.842293,9.679951,9.553306,9.476459,9.399873,9.326549,9.290088,9.305165,9.358149,9.327058,9.216986,9.149260,9.115185,9.041698,9.010788,9.032984,8.953205,8.866194,8.750621,8.681823,8.780958,8.746386,8.685985,8.687486,8.759511,8.696935,8.930188,8.972211,9.157604,9.154955,9.081540,9.025082,9.057660,8.971357,8.866701,8.775124,8.704011,8.710888,8.752055,8.853894,8.884961,8.862876,8.835934,8.850311,8.866865,8.840912,8.927079,8.871131,8.845097,8.804611,8.836499,8.967706,8.994524,8.929726,8.880825,8.857854,8.859654,8.819763,8.809387,8.757593,8.716074,8.763442,8.906680,8.898839,8.918250,8.893650,8.908166,8.878375,8.862531,8.885988,8.921958,8.953797,8.978716,9.123006,9.226249,9.222477,9.198884,9.175861,9.132516,9.074997,9.019857,9.047112,9.013361,8.973786,8.983672,9.211334,9.252495,9.237524,9.201702,9.195028,9.174516,9.167487,9.180379,9.459174,9.513344,9.552731,9.505045,9.477691,9.442616,9.401150,9.434604,9.413868,9.377421,9.348244,9.310604,9.286947,9.277771,9.388513,9.365548,9.325396,9.325628,9.295982,9.257363,9.261863,9.222722,9.194049,9.234277,9.219244,9.202326,9.239028,9.257881,9.263386,9.235023,9.214452,9.195840,9.171434,9.145097,9.150841,9.126580,9.105724,9.104051,9.105125,9.092210,9.060687,9.109973,9.139323,9.119471,9.121841,9.139256,9.129444,9.112193,9.090393,9.055403,9.046287,9.065659,9.054282,9.037721,9.015175,9.020848,9.007090,8.984223,8.952842,8.927799,8.901988,8.883599,8.888203,8.884217,8.851874,8.841375,8.835695,8.838518,8.831498,8.850895,8.831074,8.816927,8.830880,8.811341,8.814342,8.814313,8.794741,8.787643,8.783680,8.754011,8.732633,8.717381,8.743438,8.727759,8.721282,8.719227,8.708044,8.702842,8.681995,8.687913,8.678830,8.687642,8.725035,8.734676,8.710103,8.701195,8.690575,8.679173,8.663393,8.645533,8.631591,8.656774,8.664497,8.657030,8.633428,8.610819,8.589372,8.577348,8.567309,8.583261,8.578585,8.559207,8.587382,8.583556,8.570184,8.548354,8.534805,8.534238,8.620388,8.642998,8.645292,8.629229,8.613885,8.594323,8.570812,8.559175,8.544901,8.527544,8.562520,8.563353,8.569337,8.563860,8.547140,8.546137,8.531901,8.527545,8.507045,8.497201,8.508605,8.534853,8.562262,8.561611,8.554900,8.556703,8.564724,8.548374,8.561215,8.554804,8.552845,8.568931,8.560270,8.543347,8.568266,8.564052,8.604558,8.608619,8.623096,8.617911,8.614497,8.618906,8.667701,8.658010,8.648366,8.632488,8.633585,8.614361,8.608851,8.609465,8.593714,8.588601,8.590701,8.580012,8.575109,8.576486,8.600058,8.580889,8.585603,8.609687,8.656525,8.649517,8.647318,8.646787,8.639104,8.639382,8.626807,8.626022,8.610020,8.614199,8.615204,8.611568,8.620954,8.614417,8.613959,8.616453,8.612406,8.609812,8.592869,8.601553,8.589268,8.577119,8.570549,8.591467,8.582000,8.566378,8.573943,8.569137,8.563516,8.566168,8.557603,8.556423,8.539017,8.536174,8.531673,8.528231,8.511738,8.507058,8.505453,8.493604,8.554110,8.541338,8.533371,8.521506,8.510382,8.513581,8.509653,8.506974,8.501055,8.507325,8.494158,8.484662,8.493068,8.479348,8.473760,8.463847,8.453510,8.451541
95.00%,0,5.890261,9.710197,22.184505,25.822053,23.764228,21.200444,19.957322,19.406175,20.411887,19.485225,18.902155,19.273239,18.488140,18.460106,18.138771,17.767070,18.280493,17.902143,17.514095,18.952273,20.356341,20.072003,19.313687,19.449392,19.577768,19.588390,19.450811,20.227643,20.130387,19.614372,19.228135,18.860414,18.653015,18.528667,18.168764,18.117321,18.188208,18.135927,17.968876,17.807252,17.583305,17.445734,17.499572,17.204691,17.050786,16.850738,17.184503,17.405529,17.166236,17.072450,16.900411,16.836701,16.999740,16.833477,16.758541,16.682412,16.489775,16.346773,16.220932,16.140204,16.021254,16.050320,16.055439,16.007654,15.826673,15.881893,15.829440,15.720517,15.772487,15.727658,15.842524,15.715478,15.570226,15.419474,15.307117,15.240452,15.112800,15.009216,14.929145,15.266619,15.325277,15.344215,15.244204,15.128410,15.098377,15.007301,14.997510,15.147773,15.442898,15.521579,15.517647,15.467821,15.523461,15.589838,15.535294,15.557831,15.470224,15.391480,15.372319,15.352235,15.448358,15.387531,15.334185,15.318833,15.449598,15.633532,15.749100,15.691031,15.628361,15.569079,15.524864,15.473851,15.579504,15.698534,15.812433,16.186714,16.835260,16.907659,16.804365,16.704178,16.632238,16.834986,16.822222,16.742026,16.836430,16.991162,17.037111,17.009943,17.128511,17.137955,17.141947,17.079847,17.062820,17.028637,16.952489,16.881557,16.792482,16.807111,16.894995,16.804649,16.769322,16.720954,16.658934,16.668747,16.643888,16.654602,16.606461,16.543347,16.473400,16.411395,16.384180,16.426905,16.402212,16.415331,16.401324,16.353749,16.352089,16.285066,16.265566,16.236538,16.244099,16.201714,16.146460,16.083273,16.030935,15.967907,15.901937,15.859757,15.810324,15.863452,15.810452,15.886568,15.887678,15.832054,15.796058,15.814120,15.748667,15.719896,15.860667,15.957475,15.913743,15.872768,15.817010,15.782707,15.771638,15.725241,15.729665,15.843554,15.873794,15.879703,15.924790,16.137791,16.349397,16.430171,16.393367,16.380877,16.432397,16.409154,16.427522,16.366618,16.368176,16.309190,16.265021,16.223669,16.255827,16.354281,16.448949,16.578898,16.657592,16.643393,16.679543,16.642744,16.597114,16.594042,16.557851,16.508937,16.486215,16.434241,16.387419,16.422866,16.478281,16.442444,16.409332,16.387833,16.352577,16.314133,16.362614,16.326317,16.302778,16.274291,16.225011,16.293676,16.300912,16.295786,16.356979,16.304128,16.358155,16.422701,16.491844,16.444172,16.406626,16.388538,16.349772,16.299345,16.294021,16.263977,16.292805,16.256000,16.237502,16.210843,16.187464,16.195696,16.149349,16.171057,16.158526,16.155364,16.103812,16.084256,16.073804,16.034901,15.990222,15.963994,16.009046,15.984588,15.973907,16.006879,16.023093,16.049332,16.025838,16.001954,15.977518,15.945646,15.957786,16.014361,16.009134,16.067222,16.163612,16.122733,16.084805,16.062422,16.041676,16.023703,16.002329,15.975677,15.942523,15.929303,15.888863,15.887151,15.999611,16.195714,16.422724,16.699569,16.981949,17.342282,17.593213,17.742253,17.824875,17.780403,17.763806,17.724413,17.699162,17.656475,17.632524,17.592449,17.569456,17.528194,17.491865,17.452836,17.439192,17.414021,17.381608,17.382036,17.358730,17.348593,17.318000,17.318128,17.284112,17.249844,17.223101,17.187778,17.150927,17.133157,17.113651,17.165751,17.242502,17.274636,17.250190,17.223722,17.206085,17.192844,17.157486,17.126243,17.126001,17.102472,17.068022,17.054978,17.043339,17.020698,16.987363,17.048508,17.059541,17.061147,17.217138,17.342975,17.379814,17.403483,17.388324,17.360582,17.326559,17.327382,17.395062,17.409923,17.374630,17.343811,17.307252,17.292267,17.335978,17.397241,17.384839,17.379990
99.00%,0,33.033342,38.033832,49.777077,60.200089,65.703505,66.805897,68.632371,62.147246,55.665978,51.336360,48.141953,48.789630,47.883800,47.313889,48.875520,50.794285,55.316096,60.793560,65.304320,69.877236,76.612102,83.116269,89.043644,92.766034,96.856046,101.159669,105.752229,109.900672,112.566191,112.681624,112.961823,113.848679,114.588733,115.627653,115.704829,116.134346,116.276789,117.227553,118.452168,119.375118,120.940160,122.571547,124.715325,126.684987,128.041074,129.128307,132.183652,135.251414,136.890458,139.017114,141.380480,143.726294,146.313301,148.672060,151.334502,152.981594,154.426583,155.355112,155.819149,156.047136,156.671007,156.443671,155.772203,155.400067,154.618379,154.102405,153.701026,153.649643,153.391810,153.217553,153.125074,152.531375,151.755400,150.670117,149.880182,149.005213,148.263237,147.967208,147.959892,148.364715,148.751442,149.465015,150.689783,152.362175,154.272915,156.020403,157.567087,159.064281,160.619848,162.474504,164.401790,166.096720,167.760225,168.937069,169.871105,170.702385,171.267244,171.960550,172.670941,173.755337,174.913667,175.732637,176.546519,177.585929,178.223538,179.380171,180.954407,182.521483,184.288097,186.045348,188.072797,190.323564,192.433784,194.542729,196.774063,198.957020,201.104610,203.190267,205.019242,206.531282,207.982159,209.861205,211.544768,213.175230,214.661975,216.299950,217.973569,219.544847,221.272245,223.232146,224.885611,226.132239,226.901138,227.841218,228.665525,229.811105,230.437059,230.595799,230.692603,230.552966,230.252535,229.865171,229.210220,228.114431,226.986165,225.655752,224.176250,222.959597,221.717118,220.379809,219.023293,217.617478,216.360004,215.370447,214.436273,213.453045,212.452807,211.345703,210.186686,209.072884,208.102517,206.989448,205.906126,204.858588,203.720415,202.565351,201.420270,200.266240,199.352725,198.374568,197.303145,196.209590,195.128692,194.108313,193.063316,192.234913,191.440873,190.715662,190.161506,189.700849,189.298721,188.833715,188.276141,187.478911,186.568429,185.687974,184.786007,183.963563,183.111009,182.245813,181.419512,180.647703,179.904451,179.193486,178.580784,178.239821,177.978827,177.738260,177.580342,177.155526,176.756882,176.498218,176.355735,176.224052,176.114430,176.038242,175.844170,175.610303,175.362414,175.168615,175.033058,174.767974,174.628957,174.599306,174.582029,174.450021,174.501028,174.489545,174.529246,174.526516,174.661920,174.560692,174.503446,174.508771,174.605175,174.799056,174.969160,175.124131,175.256399,175.283932,175.145612,174.930697,174.561004,174.198070,173.888850,173.530041,173.051775,172.557445,172.131406,171.525389,170.879530,170.259966,169.602632,168.966053,168.329411,167.730702,167.297879,167.209909,167.069405,166.987532,166.917432,166.710325,166.445435,166.057366,165.566823,165.089119,164.667545,164.297295,163.919579,163.598102,163.186562,162.648966,162.136917,161.691177,161.338870,160.814263,160.271709,159.795157,159.289787,158.781460,158.252875,157.738561,157.239832,156.717718,156.201484,155.672924,155.172894,154.646400,154.160755,153.695015,153.286367,152.944765,152.580221,152.093058,151.665510,151.192345,150.785399,150.395767,150.111245,149.804988,149.375713,148.879116,148.415752,147.976047,147.523666,147.077556,146.663004,146.265084,145.960067,145.700131,145.395653,144.990370,144.628364,144.171581,143.748258,143.375503,142.981312,142.608921,142.322860,142.123784,141.938057,141.739028,141.595126,141.557896,141.684915,141.826441,141.811962,141.755422,141.656980,141.473592,141.216951,141.065857,140.886946,140.655325,140.405589,140.201044,139.893687,139.499583,139.125713,138.757019,138.373962,138.003803,137.706401,137.416091,137.090744,136.799725,136.534679,136.282117,135.989991,135.718438,135.507595,135.233764,134.939877,134.714823,134.504292,134.310747,134.134748,133.799007,133.454061,133.182452,133.024498,132.890551,132.723402,132.545312,132.300343,132.004017,131.672437,131.330221,130.988939,130.671517
